timestamp,rms_g,curtose,fator_crista,alerta
12:21:15,0.12741,18.0203,7.6812,1
12:21:17,0.12810,20.5624,8.6875,1
12:21:19,0.13212,16.6099,8.4604,1
12:21:21,0.12867,19.0903,8.3161,1
12:21:22,0.11955,23.2588,9.6366,1
12:21:24,0.12202,28.3095,10.6053,1
12:21:26,0.11933,24.5211,9.7852,1
12:21:28,0.12040,25.3462,9.2609,1
12:21:30,0.11960,24.2542,9.7046,1
12:21:31,0.12148,21.6132,8.8980,1
12:21:33,0.11970,21.4190,9.3116,1
12:21:35,0.11701,23.6188,9.4999,1
12:21:37,0.12016,22.8328,9.7592,1
12:21:39,0.12315,22.8819,9.5339,1
12:21:41,0.12105,23.7010,9.2746,1
12:21:43,0.11713,24.1121,8.8367,1
12:21:44,0.14482,25.0048,8.6995,1
12:21:46,0.14511,25.7306,8.6800,1
12:21:48,0.11684,23.9167,9.3357,1
12:21:50,0.13475,18.9254,8.3975,1
12:21:52,0.13287,20.8602,8.4779,1
12:21:53,0.11357,24.8265,9.6381,1
12:21:56,0.11085,25.2250,9.2831,1
12:21:57,0.10716,39.0860,11.0832,1
12:21:59,0.10956,25.9455,9.4324,1
12:22:01,0.12243,20.3436,9.1603,1
12:22:03,0.11885,20.0979,8.6119,1
12:22:04,0.11600,23.7816,8.9950,1
12:22:06,0.12486,19.0647,8.3602,1
12:22:08,0.12860,17.7968,8.1612,1
12:22:10,0.12407,23.0440,9.0307,1
12:22:12,0.12017,23.6359,8.9550,1
12:22:15,0.11911,24.5167,8.7903,1
12:22:17,0.11749,23.5064,8.7993,1
12:22:19,0.11610,25.5274,9.0213,1
12:22:21,0.11798,25.0091,10.0107,1
12:22:22,0.11851,25.2202,9.8649,1
12:22:25,0.11755,26.3418,9.6911,1
12:22:27,0.11831,23.0297,9.2224,1
12:22:29,0.11663,27.1550,10.1328,1
12:22:31,0.11565,25.0375,9.1740,1
12:22:32,0.11702,27.3429,10.1414,1
12:22:34,0.11599,25.4048,9.0079,1
12:22:36,0.12287,21.0619,9.4996,1
12:22:38,0.12644,18.3632,8.0747,1
12:22:40,0.12187,22.1308,9.2950,1
12:22:42,0.12024,22.3122,9.0072,1
12:22:43,0.11848,19.6902,8.3941,1
12:22:45,0.12048,20.7452,9.3547,1
12:22:47,0.11956,22.1926,9.0710,1
12:22:49,0.12376,21.5502,9.0418,1
12:22:51,0.12446,20.2139,8.3771,1
12:22:54,0.12197,18.4083,8.3614,1
12:22:55,0.12421,22.1192,9.7156,1
12:22:57,0.12192,19.6287,8.6290,1
12:22:59,0.12067,20.6608,9.2934,1
12:23:01,0.12180,20.0162,8.8601,1
12:23:03,0.11928,22.0284,8.9960,1
12:23:04,0.12000,25.2018,10.3705,1
12:23:07,0.11996,24.4614,10.1869,1
12:23:08,0.11918,23.0239,9.1944,1
12:23:10,0.12066,22.2431,9.1342,1
12:23:12,0.11998,22.9067,9.1771,1
12:23:14,0.11992,21.4064,8.7856,1
12:23:16,0.12008,22.4749,8.5461,1
12:23:18,0.11968,22.7676,9.4733,1
12:23:19,0.12039,22.3458,9.0096,1
12:23:21,0.12000,22.7202,9.0214,1
12:23:23,0.11719,22.0269,8.7023,1
12:23:25,0.11762,21.4482,9.2955,1
12:23:27,0.11797,25.7605,9.2111,1
12:23:29,0.11764,25.2016,9.8733,1
12:23:30,0.11932,25.2751,9.6134,1
12:23:32,0.11776,26.4277,10.2310,1
12:23:34,0.11919,21.1508,8.3312,1
12:23:35,0.11905,23.1834,8.8356,1
12:23:37,0.11908,21.5055,8.3659,1
12:23:39,0.11894,22.2812,8.7975,1
12:23:41,0.12090,22.4181,8.5924,1
12:23:43,0.11914,22.8621,8.8935,1
12:23:44,0.12119,24.0005,9.4973,1
12:23:46,0.12112,22.7466,9.2986,1
12:23:48,0.12047,23.9960,9.1917,1
12:23:50,0.12145,24.1651,9.5116,1
12:23:51,0.12017,21.1073,8.1407,1
12:23:53,0.11811,21.1120,8.7460,1
12:23:55,0.12349,24.2207,9.5293,1
12:23:57,0.12667,22.0643,8.8415,1
12:23:59,0.12230,21.8296,8.7986,1
12:24:01,0.12273,19.9821,8.8923,1
12:24:03,0.12006,21.1283,9.0473,1
12:24:05,0.12091,21.8372,8.1082,1
12:24:06,0.12070,21.6769,9.2464,1
12:24:08,0.11897,21.5005,8.1478,1
12:24:10,0.12068,24.1876,9.3244,1
12:24:12,0.11889,21.7146,9.0138,1
12:24:14,0.14125,12.6832,7.6545,1
